num,link,date,likes,dislikes,text
6,https://www.anekdot.ru/id/358369/,20.08.2008,1524,96,"Некий случайный знакомый на курорте предложил Алехину сгонять партейку вшахматы. Алехин согласился, но при расстановке фигур сразу убрал однусвою ладью. Партнер возмутился:- Как же так? Вы меня совсем не знаете – и даете мне ладью форы?На что Алехин ответил:- Если бы я не мог вам дать ладью форы, я бы вас знал."
10,https://www.anekdot.ru/id/304170/,20.08.2007,931,117,"Приходит мужик устраиваться на работу. А начальник его спрашивает:- Водку пьешь?- А есть?- Да, нет, это я так, в принципе.- А-а-а. В принципе, не пью."
8,https://www.anekdot.ru/id/246843/,20.08.2006,737,126,"Супруги за обедом. Муж пытается свою тарелку незаметно собаке спихнуть.Жена это заметив:- Любимый, ты же не хочешь свою еду собаке отдать, правда?- Ласточка моя, ну конечно же нет, только поменяться."
9,https://www.anekdot.ru/id/180386/,20.08.2005,876,168,"Виталия Кличко обвиняют в расизме. Есть видеозаписи, где он бьет негров!"
13,https://www.anekdot.ru/id/110160/,20.08.2004,1038,328,"Портить приличных девчонок гораздо приятнее, чем исправлять бл#дей!"
4,https://www.anekdot.ru/id/54412/,20.08.2003,972,256,"Роман Абрамович купил ""Челси"".В Газпроме подумали, посмеялись и решили купить ФИФА."
9,https://www.anekdot.ru/id/-9952595/,20.08.2002,1074,240,"- Уважаемые дамы и господа! Сейчас мы услышим лауреата многих  международных конкурсов и всемирно известного виртуоза! Он исполнит  несколько произведений на своей божественной скрипке! - объявляет  конферансье публике.- Но я вовсе не скрипач, - шепчет смущенный музыкант, - я пианист.- Дамы и господа, - продолжает конферансье, - сегодня исполнитель забыл  свою скрипку дома и поэтому сыграет нам на пианино, что еще труднее!"
10,https://www.anekdot.ru/id/-10032564/,20.08.2001,1201,357,"- Теперь я больше никогда не буду с волнением ждать его шагов и звонка в  дверь ровно в семь часов вечера!- Боже, что случилось?- ... И больше никогда не будет для него полумрак в гостиной...- Да ты что?- ... Он больше не будет сидеть рядом по вечерам и называть меня нежными  словами, как он делал все эти два года! А сегодня вечером я сожгу все  его любовные письма!- Ты собираешься с ним расстаться?- Нет! Я выхожу за него замуж!"
6,https://www.anekdot.ru/id/-10099650/,20.08.2000,1416,249,Безалкогольное пиво - первый шаг к резиновой женщине.
10,https://www.anekdot.ru/id/-1082000010/,20.08.1999,3701,609,"Однажды к Кролику ( из ""Винни-Пуха"") подошли и спросили:- Что вы думаете про Бориса Николаевича Ельцина?- Борис Николаевич Ельцин, - ответил Кролик, - грамотный стратег,  оптимально выбирающий пути развития России, великолепно проявивший  себя в подборе и расстановке компетентных руководителей на ключевые  посты в стране, и умеющий вовремя отправить их в отставку.А что Кролик подумал на самом деле, так никто и не узнал -потому, что он был очень воспитанный..."
5,https://www.anekdot.ru/id/-82000005/,20.08.1998,1780,431,"Как определить, когда время мыть посуду и убирать в квартире?Загляни себе в штаны... если там член, еще не время."
6,https://www.anekdot.ru/id/13912/,20.08.1997,495,101,"Сидит убитая бабка около моpя, pядон ободpанный кот.Вдpуг выплывает золотая рыбка и спpашивает бабку:- Че гpустишь? Загадай мне желание!Бабка:- Хочу огpомный двоpец, денег и чтоб кот стал огpомным  и кpасивым мужиком.Рыбка выполнила обещание и уплыла. Бабка стоит умиленная,вдpуг ее сзади за плечо мужик тpогает и говоpит диким голосом:- А помнишь, СУКА, как ты меня кастpиpовала?"
9,https://www.anekdot.ru/id/-482000009/,20.08.1996,650,77,"Новый русский на банкете в Штатах: ест, пьет все  подряд.Рядом с ним останавливается американец. Русский:- Тебя как зовут?- Смит.- Ешь, Смит!- Не хочу.- Ешь - халява.- Я ем тогда, когда хочу есть.- Не понимаю...- Когда хочу есть, я - ем! Когда не хочу есть, я - не ем!- Ну, ты прямо как животное какое!"
2,https://www.anekdot.ru/id/1239356/,19.08.2021,1148,164,"А ведь талибы далеко не первые, объявленные в России террористами, договорились с Путиным! Вот и Рамзан Ахматович не даст соврать..."
7,https://www.anekdot.ru/id/1135341/,19.08.2020,1467,482,"Как будто в соседнем классе дети решились вместе навалять доставшему всех гопнику, а мы ждём, что наш после девятого класса уйдёт."
1,https://www.anekdot.ru/id/1038820/,19.08.2019,995,51,- В Древнем Риме некоторым рабам разрешалось иметь своих рабов.- Теперь это называется менеджер среднего звена.
18,https://www.anekdot.ru/id/965512/,19.08.2018,923,165,"Выступления на свадьбах, корпоративах. Казачий хор. Дорого.Спросить Владимира Владимировича"
2,https://www.anekdot.ru/id/902249/,19.08.2017,1134,379,"То что никто не может найти украинских монет 19 века, доказывает, что уже тогда украинцы использовали банковские карты."
28,https://www.anekdot.ru/id/842089/,19.08.2016,1154,113,"Почему под здоровым образом жизни понимается отказ от курения и алкоголя, почему про постоянный недосып, жизнь от зарплаты до зарплаты и невроз тактично умалчивают? Это что типа очень полезно для здоровья?"
2,https://www.anekdot.ru/id/777551/,19.08.2015,1739,156,"- Красотка, дай номер телефона!- Молодой человек, пишите 0695671230.- Хм... Так сразу...- Пишите, пишите, не стесняйтесь. Позвоните сегодня вечером ровно в шесть. В семь встречаемся на ужин. Я позже есть не люблю. Сегодня секса не будет. Рано. Возьмите деньги. Я люблю крабов. Цветов не надо. Сэкономите.Завтра можно секс. Я люблю сверху. Полгода вам достаточно? Мне нельзя тянуть с детьми. Да и вам тоже. Мальчик. Потом девочка. Я растолстею. Вы полысеете. Вы уйдете к соседке. А я отберу вашу квартиру.- Вот дура.- Лучше потратить две минуты, чем двадцать лет."
5,https://www.anekdot.ru/id/714401/,19.08.2014,1495,200,"Когда всё нормально, европеец спокоен и хорошо работает, а когда всё идёт через жопу - паникует.Когда всё идёт через жопу, русский мобилизуется и делает невозможное. Когда всё хорошо - русский страдает хернёй."
16,https://www.anekdot.ru/id/652301/,19.08.2013,893,91,"Когда игра заканчивается, то король и пешки попадают в одну и ту же коробку."
2,https://www.anekdot.ru/id/595822/,19.08.2012,1236,79,«Или пить или водить» — говорит социальная реклама ГИБДД на улицах. То есть человеку без автомобиля они выбора просто не оставляют.
6,https://www.anekdot.ru/id/525798/,19.08.2011,1280,77,"Все люди делятся на три категории:1. Совы (встают и ложатся поздно).2. Жаворонки (встают и ложатся рано).3. Дятлы - из-за них совы встают рано, а жаворонки ложатся поздно."
17,https://www.anekdot.ru/id/464719/,19.08.2010,1735,263,"Кто как тушит лесные пожары:Пожарные: Приехав на место возгорания, неожиданно обнаруживают, чтотехника сломана, воды нет, бензопилы не работают. Героически закидываютогонь песком, валят деревья топорами.Местные жители: Всей деревней закидывают огонь песком, рубят деревья,делают тракторами просеки. Делают из подручных материалов пожарныемашины и заливают очаги возгорания. Следят, чтобы нигде не загорелосьповторно.Жители соседних регионов: Покупают на свои деньги и привозят на своихмашинах местным жителям и пожарным еду, воду, пожарные шланги, помпы,пилы, лопаты и респираторы.Члены партии ""Единая Россия""Приезжают, фотографируются в партийных футболках на фоне пожара,уезжают, затем пишут на своем сайте о том, как партия потушила всепожары.Чиновники: Не дают людям самостоятельно тушить огонь, т. к. те не подалиуведомление о тушении за две недели и не получили на это разрешенияуполномоченных органов. Совместно с милицией штрафует людей занезаконную рубку леса.Президент: Рассказывает о том, как тяжело ему работается в Сочи.Премьер-министр: Приезжает с делегацией из десятков человек в специальносозданный для него штаб тушения пожаров, под камеру ходит по дымящемусяполю, обещает всем компенсации, садится в ""самолет-амбицию"", делает парукругов вокруг и уезжает.Государственное ТВ: Говорит, что никаких пожаров у нас нет. Но вы неволнуйтесь, партия и правительство лично тушат все пожары и ничего несгорело. Но вы не волнуйтесь, все жители сгоревших деревень получаткомпенсации и новые дома. После показывает репортаж о страшныхкатаклизмах в других странах."
17,https://www.anekdot.ru/id/410363/,19.08.2009,884,112,"Ночь в старинном английском замке. Гость растерянно бегает по темному имрачному коридору и вдруг натыкается на привидение, которое говорит емупечальным голосом:- Я здесь обитаю уже четыре столетия...- Ой, как хорошо! Вы наверняка знаете, где здесь туалет..."
3,https://www.anekdot.ru/id/358193/,19.08.2008,717,99,"Хотите приносить пользу обществу? Хотите, чтобы девушки бежали вамнавстречу, а иногда и за вами? Хотите, чтобы вас с нетерпением ждали влюбое время и в любую погоду? Автотранспортное предприятие приглашает наработу водителей автобуса!"
6,https://www.anekdot.ru/id/304081/,19.08.2007,550,119,Во вчерашнем футбольном матче гол забил боковой арбитр. Вот что значит -переплатили!
10,https://www.anekdot.ru/id/246546/,19.08.2006,764,169,"Поженились фотомодели: парень и девушка. Первая брачная ночь. Они лежатв постели 10, 20.... , 40 минут. Потом парень не выдерживает и говорит:- Я чет не понял, нас будет сегодня кто-нибудь трахать или нет?"
4,https://www.anekdot.ru/id/180197/,19.08.2005,796,223,"После долгих препирательств наконец-то эвакуируется семья поселенцевиз сектора Газы.- Сара, не плачь, я понимаю, что тебе жалко наш дом, но не плачь!- Ой, Мойша, я плачу не потому..., а потому что ты не еврей!- Сара!............. Шо такое!??- Пока ты упирался, плевался, брыкался, наш сосед Фима эвакуировался  два раза и УЖЕ получил две компенсации!"
1,https://www.anekdot.ru/id/109965/,19.08.2004,1012,338,"Дж. Буш сначала имел нефтяной бизнес, а уж потом стал президентом,В. Путин совсем наоборот...                                                           МихМар"
1,https://www.anekdot.ru/id/54280/,19.08.2003,989,144,"- Запомни, сынок, чтобы быть хорошим человеком, ты должен быть всегда  пунктуальным и осторожным!- А что значит ""пунктуальным"", папа?- Это чтобы ты всегда выполнял то, что обещал!- А ""осторожным""?- Чтобы никогда ничего не обещал!!!"
6,https://www.anekdot.ru/id/-9952752/,19.08.2002,1503,218,"- Алло, Петя! Пpиезжай, тyт такие девчонки, водкy пpивози... Алло! Вася!  Пpиезжай, тyт столько водки - пpивози девчонок!"
6,https://www.anekdot.ru/id/-10032578/,19.08.2001,1280,254,"Солдат обратился к своему командиру с просьбой об отпуске по причинеболезни его жены.- Я не стал бы вам отказывать, рядовой Смит, - сказал полковник, - но  дело в том, что я только что получил письмо от вашей жены, в котором она  просит быть к вам поснисходительней и заодно сообщает, что чувствует  себя прекрасно.Солдат отдал честь, повернулся и направился к двери. На пороге оностановился и, повернувшись к начальнику, сказал:- В нашем полку, сэр, есть два отчаянных брехуна. И один из них - я,  поскольку я не женат."
9,https://www.anekdot.ru/id/-10099657/,19.08.2000,1018,288,"Ковбой-переселенец двинулся с семьей на Запад. Построил там дом,развел живность. Потом повесил рядом с домом большой колокол и сказалжене:- Значит так. Если стрясется какая-нибудь беда, пока я в поле работаю,  звони изо всех сил в этот колокол, чтобы я услышал.На следующий день он слышит, как звонит колокол, кидается на коня искачет во весь опор домой. Влетает во двор, и жена ему говорит:- Дети стали просто несносны. Джо все время таскает Каролину за волосы,  и оба так ругаются ... У меня уже нет сил.- Ну ты дура, или как? Я для этого все бросил и, как сумасшедший,  пять миль скакал? Я тебе повторяю, звонить надо, если беда какая-нибудь.  Поняла?На следующий день опять колокол звонит. Ковбой опять прилетает налошади домой и слышит от жены:- Случилась беда. Джо сел на мула, ездить не умеет, оборвал все веревки  с бельем, теперь надо все перестирывать...Ковбой кладет руку на кобуру и говорит:- Послушай, идиотка! Я тебе в последний раз говорю! Звонить надо,  если случается что-то страшное. Если ты еще раз будешь звать меня  из-за ерунды, это кончится для тебя плохо.И на следующий день звонит колокол. Опять прискакал ковбой и видит,что дом горит, жену и детей угнали индейцы, везде куры валяются,проткнутые стрелами, мул убежал... Посмотрел ковбой на эту картину исказал:- Ну вот это нормально. А то звонит, звонит..."
5,https://www.anekdot.ru/id/-1081900005/,19.08.1999,1531,294,"Военком обращается к допризывнику: ""Какое у тебя образование?""Паренек отвечает: ""Высшее. Закончил Гарвардский Университет.И заочно МГУ"".""Не умничай! - нахмурился офицер и обращается к секретарше:- Пиши следущее: годен к строевой службе. Умеет читать и писать!"""
5,https://www.anekdot.ru/id/-81900005/,19.08.1998,4001,348,"Шестисотый мерин въезжает сзади в каток. Из машины вылезает здоровенныйдетина и начинает звонить по мобиле своему гаишнику.Через некоторое время останавливается милецейская тачка, из нее выходитгаишник, подходит к водителю катка, отводит его в сторону и задушевношепчет:- Ну, рассказывай. Как обгонял... Как подрезал..."
3,https://www.anekdot.ru/id/14973/,19.08.1997,348,99,"Посетитель в баре пробует поданное пиво и подзывает официанта.- Вы что мне подали, пиво или помои?- А вы что, сами не можете отличить?- Hет.- Тогда какое это имеет значение?"
7,https://www.anekdot.ru/id/-481900007/,19.08.1996,468,112,"У врача - большая очередь, он пытается максимально ускоритьпроцедуру приема. Заходит бабка... Врач:- Ф И О?- Чего?- Фамилия, имя, отчество.- Х У Я.- Чего?- Харитонова Ульяна Яковлевна."
33,https://www.anekdot.ru/id/1239108/,18.08.2021,1300,383,"Повальные аресты и судилища сторонников Навального показывают, что оскорбление чувств ворующих - намного более тяжкое преступление, чем оскорбление чувств верующих."
3,https://www.anekdot.ru/id/1135097/,18.08.2020,969,146,"А вы представьте, если БелАЗ начнёт жечь покрышки..."
19,https://www.anekdot.ru/id/1038586/,18.08.2019,1142,92,"Перечитываю «Анну Каренину» и обращаю внимание на иностранных работников того времени - девушка прислуга-француженка, кормилица-итальянка, часовщик-немец, жокей-англичанин и т.д. Охренеть, когда-то гастарбайтерами в России были выходцы из Западной Европы."
17,https://www.anekdot.ru/id/965340/,18.08.2018,830,198,"По-английски ""I was born"" - я был рождён. А по-нашему ""Я родился"". Мы как-то сразу привыкаем всё делать сами."
3,https://www.anekdot.ru/id/902094/,18.08.2017,1627,128,"Парни, которые поворачивают направо из левого крайнего ряда,  помните, дома вас ждут ваши парни."
19,https://www.anekdot.ru/id/841915/,18.08.2016,1269,150,"- Знаете, почему при массово горящих в России лесах чиновники отправляют самолёты тушить лес в Европе?- Боятся, что сгорят их виллы..."
21,https://www.anekdot.ru/id/777415/,18.08.2015,1281,224,"Нет большой беды в том, что Онищенко против презервативов. Беда в том, что отец Онищенко был против презервативов."
5,https://www.anekdot.ru/id/714241/,18.08.2014,825,171,Нерусская женщина засмотрелась на горящую избу и была сбита конём.
16,https://www.anekdot.ru/id/652175/,18.08.2013,926,67,"Олег Тиньков возмущается клиентом, который повел себя как банк."
37,https://www.anekdot.ru/id/595672/,18.08.2012,1280,133,"Пьяный священник, устроивший ДТП за рулём дорогого спорткара, оказывается, уволился из РПЦ и перестал верить в Бога ещё за день до аварии."
6,https://www.anekdot.ru/id/525601/,18.08.2011,1447,140,"Учитель:- Дети! Кто из вас летом был в деревне?- Я!- И я!- И я!- Хорошо. И какие же новые звуки вы слышали в деревне?- МУУУУ!- БЕЕЕЕ!- КРЯ-КРЯ!!!- СЪЕБАЛ С ТРАКТОРА, БЫСТРО!!!!!"
20,https://www.anekdot.ru/id/464574/,18.08.2010,1158,202,Порядок при праздновании 66-й годовщины Великой Победы над фашисткойГермании будут обеспечивать несколько тысяч полицаев.
2,https://www.anekdot.ru/id/410213/,18.08.2009,861,152,"- Тебе пиво дороже, чем я!- Что ты, дорогая! Пиво - гораздо дешевле!Эстуарий Янцзы ©"
7,https://www.anekdot.ru/id/358011/,18.08.2008,589,146,- А я в эти выходные в Простоквашино ездил...- И что там делал?- Просто квасил.
10,https://www.anekdot.ru/id/303955/,18.08.2007,1053,113,"Всемирная истроия.Наполеон и его империя.Бонапарт после великих побед, завоевания Европы и вынужденного отреченияот престола после проигранной ""битвы народов"" под Лейпцигом в 1813 г.был отправлен на остров Эльба в Средиземном море. Наполеон с небольшимотрядом покинул Эльбу и в марте 1815 года высадился во Франции. Втечении всего 20 дней он покорил Францию без единого выстрела с помощьювсе еще верной ему французской армии.Интересны заголовки парижских газет тех дней, меняющиеся в зависимостиот продвижения императора к столице: ""Корсиканское чудовище высадилось вбухте Жуан"" - ""Людоед идет к Грассу"" - ""Узурпатор вошел в Гренобль"" -""Бонапарт занял Лион"" - ""Наполеон приближается к Фонтенбло"" - ""Егоимператорское величество ожидается сегодня в своем верном Париже""."
1,https://www.anekdot.ru/id/246353/,18.08.2006,1014,163,"Идет блондинка по рынку и видит, как мужик продает косточки от яблок.Блондинка (с улыбкой):- Ну как, кто-нибудь покупает ваши косточки?- Конечно, ведь косточки от яблок повышают интеллект!- Это как?- А вот вы купите и узнаете, 200 рублей за десяток.Блондинка купила десяток, съела и говорит:- Блин, я ведь за 200 рублей могла 10 кг яблок купить, а там много  косточек.- Вот видите, сразу поумнели.- Действительно, дай еще десяток косточек!"
56,https://www.anekdot.ru/id/180046/,18.08.2005,965,196,"Матч Россия-Бразилия. После 1-го тайма перерыв. Раздевалка бразильцев.- Парни, мы должны их порвать!!! Мы сделаем это!???- Дааааа!!!- Покажем сегодня нашу лучшую игру???!!!- Дааа!!!- Мы сегодня победим!!???- Дааа!!!Раздевалка наших. Тишина. Все сидят молчат.Тут что-то в углу зашуршало, все вздрогнули. Наш тренер:- Спокойно, ребятки, не волнуйтесь!!! Пока мы здесь нам никто не забьет."
8,https://www.anekdot.ru/id/109827/,18.08.2004,820,273,"Час пик. Набитый автобус. Стоит девушка, все места заняты, и молодойчеловек предлагает ей сесть ему на колени. Она садится, за этим следуетнеобратимая реакция и она спрашивает:- Молодой человек, что это у вас там?!- Не волнуйтесь, это всего лишь портсигар!Тут в разговор вступает 80-летний старикан, сидящий рядом, и говорит:- Девушка, вы лучше ко мне садитесь, я уж 20 лет как не курю!"
5,https://www.anekdot.ru/id/54177/,18.08.2003,1073,164,"Hаpодная пpимета:Если пpогpаммист в pабочее вpемя игpает, значит - либо у него мало pаботыи большая заpплата, либо у него много pаботы и маленькая заpплата."
9,https://www.anekdot.ru/id/-9952902/,18.08.2002,864,191,Отец спpашивает сына:- Hy как yспехи в школе?- Отлично! Контpакт с пятым классом пpодлен еще на год!
5,https://www.anekdot.ru/id/-10032589/,18.08.2001,869,346,"Бывший гаишник рассказывает своему сыну сказку:- Дала добрая фея дяде волшебную палочку. Стал он с ней возле дороги.  Махнул раз - остановил Жигули. Дали дяде 100 рублей.  Махнул другой - остановил грузовик. Дали дяде 200 рублей.  Махнул третий раз - остановил ""Волгу"".Жена:- И дали дяде столько палок, что пришлось ему менять работу!"
10,https://www.anekdot.ru/id/-10099666/,18.08.2000,1574,295,"- У меня жена дома сидит, пиpоги печет. Целый день печет пиpоги, пpедставляете?  Я пpихожy с pаботы - печет, yхожy - печет! И ведь кто-то жpет эти пиpоги!  Лично я ни pазy не пpобовал..."
5,https://www.anekdot.ru/id/-1081800005/,18.08.1999,1508,353,"Конечная станция метро. Милиционер проверяет вагоны перед уходом в депо.В одном из вагонов видит спящего мужчину с наружностью типичного бомжа.Подходит.- Эй бомж, просыпайся! Приехали!Бомж просыпается и отвечает:- Я не бомж, я ""новый русский"".- А что-же ты тогда тут делаешь, в таком виде? - спрашивает милиционер.- Заплатил налоги и спокойно сплю."
5,https://www.anekdot.ru/id/-81800005/,18.08.1998,1506,242,"Мама с сыном завтракают.Сын говорит:- Мам, ты знаешь, я гей.- Это что, сосешь мужской член, что ли?- Да.- Тогда не смей больше жаловаться на то, как я готовлю!"
4,https://www.anekdot.ru/id/14618/,18.08.1997,652,176,"Вовочка спрашивает у отца:- Папа, а презервативы рваные бывают?- В зеркало посмотри."
74,https://www.anekdot.ru/id/-481800074/,18.08.1996,557,69,"Ситуация:В комнате, в углу горит куча бумаги, горит пока еще не сильно,но есть реальная угроза большого пожара. Неподалеку стоит мешокс песком. Как действуют разные люди:Инженер-практик:Входит в комнату, видит огонь, хватает мешок и засыпает огонь песком.Физик-теоретик:Входит в комнату, видит огонь, окружает пламя барьером из песка иувлеченно наблюдает явление.Математик:Входит в комнату, видит огонь, видит мешок с песком, и, поняв, чтозадача имеет решение, теряет к ней интерес, и выходит из комнаты."
1,https://www.anekdot.ru/id/1238790/,17.08.2021,850,190,"Если отнимать у богатых и отдавать бедным — это лишает мотивации работать и тех, и других."
6,https://www.anekdot.ru/id/1134900/,17.08.2020,1010,314,"ДЕМОКРАТИЯ — это когда грамотные и ответственные бессильно наблюдают за тем, как неучи и бездельники выбирают им руководителем неуча и бездельника."
2,https://www.anekdot.ru/id/1038260/,17.08.2019,923,51,"Почему каждую новую зубную пасту всегда рекомендуют только девять из десяти стоматологов? Кто этот десятый, которому постоянно всё не нравится?"
4,https://www.anekdot.ru/id/965177/,17.08.2018,736,81,"- Вы имеете право хранить молчание... Все, что вы скажете, может быть использовано против вас в суде...- Ты зачем мне зачитываешь фразы американских полицейских?- Это не фразы полицейских, это новое пользовательское соглашение для регистрации в российских соцсетях."
22,https://www.anekdot.ru/id/901962/,17.08.2017,1698,108,"Бабушка поспорила с Сёмой, что он не съест 25 её пельменей на то, что он уберёт в квартире... И вот Сёма доедает 24-й пельмень, а 25-го в тарелке нет…Ох уж эта еврейская бабушка…"
6,https://www.anekdot.ru/id/841723/,17.08.2016,909,77,"- Что делать, если админ плохо работает? - Попробуйте уволить и принять обратно."
8,https://www.anekdot.ru/id/777258/,17.08.2015,1209,167,"Умер раввин из Мукачево и предстал перед Богом.— Где ты родился? — спросил его Господь.— В Австро-Венгрии, — ответил ребе.— Где ты пошел в хедер (школу)?— В Чехословакии.— Где ты женился?— В Венгрии.— Где родился твой первенец?— В Третьем рейхе.— Где родились твои внуки?— В СССР.— А где ты умер?— В Украине.— Мой добрый ребе, — сказал Бог, — много в жизни тебе пришлось путешествовать.— Вовсе нет, Господь, — ответил раввин. — Я всю жизнь не покидал родного города."
1,https://www.anekdot.ru/id/714007/,17.08.2014,765,155,"- Сёма, давай бухнём? - Но сейчас 4 часа утра! - Я тебя что, время спрашиваю?"
1,https://www.anekdot.ru/id/652016/,17.08.2013,887,69,Начальник тюрьмы приказывает дежурному надзирателю: - Наведите порядок в камерах и коридорах. К нам едет губернатор! - Неужели?! Наконец-то этот пидорас попался!
17,https://www.anekdot.ru/id/595497/,17.08.2012,1131,66,"Закончив мединститут, я стал бояться врачей, особенно своих сокурсников."
29,https://www.anekdot.ru/id/525483/,17.08.2011,1158,111,"Брать кредит, это все равно что поссать в штаны на морозе: сначала теплои хорошо, зато пото-ом..."
17,https://www.anekdot.ru/id/464439/,17.08.2010,1305,97,"Как говорит наш инженер по технике безопасности,ничто так не радует глаз, как второй глаз."
1,https://www.anekdot.ru/id/410069/,17.08.2009,1011,206,"Разговаривают два приятеля.- Представляешь, Вася, какая фигня приключилась? Вчера из гостиницы  написал я своей подруге е-майл, типа завтра прилетаю, соскучился, очень  хочу тебя трахнуть.  Только вот, по-пьяне в списке получателей вместо одной этой подруги я  отметил всех, кто был в адресной книге. А у меня там и школьные друзья  и партнеры по бизнесу, все мое начальство и даже знакомые менты.  Представляешь, какими были ответы?!- Даже страшно представить.- Вот именно! Большинство ответили: ""Я не против. Жду."""
1,https://www.anekdot.ru/id/357862/,17.08.2008,571,128,"Однажды какая-то глупая, бестолковая обезьяна так и не сумела научитьсялазить по деревьям... Так началась история человечества."
12,https://www.anekdot.ru/id/303796/,17.08.2007,1155,112,"Бьерн Страустрап, один из разработчиков языка С++:Я всегда мечтал о том, чтобы работа с компьютером была не сложнеепользования телефоном. Моя мечта стала реальностью. Теперь я уже незнаю, как пользоваться всеми возможностями телефона."
8,https://www.anekdot.ru/id/246184/,17.08.2006,846,171,В Басманном суде вчера состоялся суд над известным спамером. Подсудимыйбыл приговорен к шести месяцам операций по увеличению груди и удлинениюпениса.
